MapDataExternalID;MainKey;SecondaryKey;Values
PPM_Values;CDIP@TBL3@Double Espresso@Odesa;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 0.5, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Double Espresso@Chernigiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Double Espresso@Kharkiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Double Espresso@Sumy;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2.5, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Americano@Kyiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Americano@Odesa;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 0.25, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Americano@Chernigiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Americano@Kharkiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1.5, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Americano@Sumy;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Cappuccino@Kyiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 3, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Cappuccino@Odesa;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Cappuccino@Chernigiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1.5, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Cappuccino@Kharkiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Cappuccino@Sumy;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 0.5, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Latte@Kyiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Latte@Odesa;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Latte@Chernigiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 5, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Latte@Kharkiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 4, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Latte@Sumy;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Raff Coffee@Kyiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Raff Coffee@Odesa;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 4, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Raff Coffee@Chernigiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Raff Coffee@Kharkiv;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 1, "%", "", 0, "", "", 0]],"EA",""]]
PPM_Values;CDIP@TBL3@Raff Coffee@Sumy;"";[[true,"","","1","","CDIP_TBL3",[[0, "D", 2, "%", "", 0, "", "", 0]],"EA",""]]



